Numer og≥oszenia,nazwa zamawiajπcego,Rodzaj zamÛwienia,cpv,Tryb udzielenia zamÛwienia,Ca≥kowita wartoúÊ zamÛwienia bez vat,Liczba otrzymanych ofert,Cena wybranej oferty,Oferta z najniøszπ cenπ,Oferta z najwyøszπ cenπ,wykonawcy
 150578 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.31.53.00-1, 45.31.11.00-1, 45.21.60.00-4, 45.21.62.00-6, 45.23.24.60-4.", Przetarg ograniczony," 3407213,93 PLN.", 4.," 3768217,50"," 3768217,50 "," 4568663,18","KONSORCJUM ELNET Rafa≥ Czarnecki - Lider Konsorcjum , ul. WyszyÒskiego 15/33A, 10-456 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 150938 - 2016, Zarzπd DrÛg Powiatowych w Poznaniu, Roboty budowlane.," 45.23.31.20-6, 45.23.21.30-2.", Przetarg ograniczony," 3368853,14 PLN.", 4.," 3212130,20"," 3212130,20 "," 4152542,42","EUROVIA Polska S.A, Bialany Wroc≥awskie , ul. Szwedzka 5, 55-040 Kobierzyce, kraj/woj. dolnoúlπskie."
 151152 - 2016, Gmina Z≥otÛw, Roboty budowlane., 45.23.13.00-8., Przetarg ograniczony," 1106347,75 PLN.", 6.," 362900,23"," 290777,99 "," 607064,59","Zak≥ad RobÛt Instalacyjno-Inøynieryjnych WODBUD Tadeusz i Pawe≥ Ryczkowscy SpÛ≥ka Jawna, ul. Przemys≥owa 31, 64-920 Pi≥a, kraj/woj. wielkopolskie."
 151168 - 2016, Centrum Us≥ug WspÛlnych, Roboty budowlane.," 45.31.54.00-1, 45.31.73.00-5, 31.21.31.00-3, 45.33.12.20-4, 45.31.43.10-7, 45.00.00.00-7.", Przetarg ograniczony," 972357,73 PLN.", 3.," 1318707,60"," 949706,80 "," 1688792,99","LEGAT-ELTEL, ul. Improwizacji 5, 01-992 Warszawa, kraj/woj. mazowieckie."
 151278 - 2016, Dyrekcja Rozbudowy Miasta GdaÒska dzia≥ajπca w imieniu Gminy Miasta GdaÒska, Roboty budowlane.," 45.21.00.00-2, 45.23.24.60-4, 45.31.00.00-3.", Przetarg ograniczony," 642530,00 PLN.", 2.," 787878,78"," 787878,78 "," 846178,50","PrzedsiÍbiorstwo ECOZET Miros≥aw Zblewski, Kaliska Koúcierskie 94, 83-400 Koúcierzyna, kraj/woj. pomorskie."
 151484 - 2016, Izba Skarbowa w Rzeszowie, Roboty budowlane., 45.33.10.00-6., Przetarg ograniczony," 216198,37 PLN.", 2.," 256880,00"," 256880,00 "," 258004,80","GOBOX Sp. z o.o., ul. Rzeszowska 135, 39-200 DÍbica, kraj/woj. podkarpackie."
 151508 - 2016, Gmina Miejska CiechanÛw reprezentowana przez Prezydenta Miasta CiechanÛw, Roboty budowlane.," 71.32.00.00-7, 71.22.00.00-6, 45.22.00.00-5, 45.11.10.00-8, 45.23.32.00-1, 45.11.27.11-2, 45.10.00.00-8, 45.23.31.40-2, 45.11.12.00-0, 45.22.35.00-1, 45.44.23.00-0, 45.22.31.00-7, 45.11.27.10-5, 45.31.00.00-3, 45.23.32.20-7.", Przetarg ograniczony," 3965694,57 PLN.", 5.," 2767500,00"," 2767500,00 "," 3527656,00","Firma Budowlano - Drogowa PRASBET Sp. j. Wojciech Hilger, Micha≥ Szulc, ul. Malczewskiego 2, 86-300 Grudziπdz, kraj/woj. kujawsko-pomorskie."
 151546 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 849628,77 PLN.", 7.," 983029,12"," 983029,12 "," 1217689,83","Lubelskie PrzedsiÍbiorstwo RobÛt Telekomunikacyjnych S.A. , ul. EnergetykÛw 27, 20-468 Lublin, kraj/woj. lubelskie."
 151810 - 2016, 20 Wojskowy Szpital Uzdrowiskowo-Rehabilitacyjny SP ZOZ, Roboty budowlane.," 45.26.12.10-9, 45.32.00.00-6, 45.45.00.00-6, 45.32.10.00-3, 45.32.40.00-4, 45.11.11.00-9, 45.44.21.00-8, 45.11.12.00-0, 45.26.13.20-3.", Przetarg ograniczony," 1000070,00 PLN.", 1.," 1155124,37"," 1155124,37 "," 1155124,37","Zak≥ad Inwestycji Budowlanych Sylwester G£”WCZYK, £abowa 197, £abowa fax.18 475 12 29, kraj/woj. Polska."
 151994 - 2016, S≥uøba Kontrwywiadu Wojskowego, Roboty budowlane.," 45.00.00.00-7, 45.33.00.00-9, 45.30.00.00-0.", Przetarg ograniczony," 3833576,97 PLN.", 5.," 3558649,21"," 3135210,06 "," 4512595,49","Konsorcjum firm: Lider: Us≥ugi Remontowo-Budowlane Piotr Przybysz, ul. Husarska 17 m 20, 05-120 Legionowo, kraj/woj. mazowieckie."
 138492 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.12.00-3.", Przetarg ograniczony," 2048170,00 PLN.", 7.," 932771,88"," 932771,88 "," 1990751,86","WASKO S.A., ul. Berbeckiego 6, 44-100 Gliwice, kraj/woj. úlπskie."
 138510 - 2016," SpÛ≥dzielnia InwalidÛw ""Elektromet""", Roboty budowlane.," 45.00.00.00-7, 45.11.12.00-0, 45.26.25.00-6, 45.30.00.00-0, 45.33.11.00-7, 45.33.20.00-3, 45.31.23.10-3, 45.33.24.00-7, 09.33.12.00-0.", Przetarg ograniczony," 1882290,81 PLN.", 3.," 1674078,57"," 1674078,57 "," 1791310,00","IN-TEL Miros≥aw JÍdra, ul. Koúciuszki 13, 55-140 ØmigrÛd, kraj/woj. dolnoúlπskie."
 139824 - 2016, Gmina Miejska KrakÛw-Wydzia≥ Inwestycji UrzÍdu Miasta Krakowa, Roboty budowlane.," 45.11.00.00-1, 71.32.20.00-1, 45.11.10.00-8, 71.32.00.00-7.", Przetarg ograniczony," 69470,00 PLN.", 3.," 20442,60"," 20442,60 "," 43050,00","ENERGOKON-PLUS Sp. z o.o., ul. Mieros≥awskiego 3, 41-200 Sosnowiec, kraj/woj. úlπskie."
 141160 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.32.20-7, 45.23.31.42-6, 45.23.32.51-3, 14.21.20.00-0.", Przetarg ograniczony," 203252,03 PLN.", 1.," 250000,00"," 250000,00 "," 250000,00","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o. o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 141632 - 2016, Gmina Miejska KrakÛw-Wydzia≥ Inwestycji UrzÍdu Miasta Krakowa, Roboty budowlane.," 45.00.00.00-7, 45.21.00.00-2, 45.23.61.19-7, 45.26.19.00-3, 45.31.00.00-3, 45.31.60.00-5, 45.31.12.00-2, 45.31.10.00-0, 42.96.10.00-0, 51.90.00.00-1, 45.31.43.00-4, 45.40.00.00-1, 45.41.00.00-4, 45.43.00.00-0, 45.44.10.00-0, 45.42.11.00-5, 45.44.21.00-8, 45.33.00.00-9, 45.33.11.00-7, 45.33.12.00-8, 45.30.00.00-0.", Przetarg ograniczony," 1588753,46 PLN.", 1.," 1720770,00"," 1720770,00 "," 1720770,00","VEGATechnik sp. z o.o., ul. Emaus 19, 31-213 KrakÛw, kraj/woj. ma≥opolskie."
 141766 - 2016, Gmina åwierklany, Roboty budowlane.," 45.23.10.00-5, 45.10.00.00-8, 45.11.10.00-8, 45.20.00.00-9, 45.23.30.00-9, 45.31.10.00-0, 45.11.00.00-1, 45.30.00.00-3.", Przetarg ograniczony," 2010148,29 PLN.", 3.," 2420359,36"," 2420359,36 "," 2699962,66","PrzedsiÍbiorstwo Wielobranøowe GAMAR Sp. z o.o., ul. Rybnicka 19, 44-335 JastrzÍbie - ZdrÛj, kraj/woj. úlπskie."
 142052 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 71.32.00.00-7, 45.00.00.00-7, 45.23.14.00-9, 45.23.22.00-4, 45.31.53.00-1, 45.31.72.00-4, 45.31.55.00-3, 45.31.53.00-4, 45.31.57.00-5.", Przetarg ograniczony," 630000,00 PLN.", 3.," 387450,00"," 387450,00 "," 487080,00","Black Water Energia Sp. z o.o., ul. Nieborowska 46/27, GdaÒsk, kraj/woj. Polska."
 143350 - 2016, Gmina KnurÛw, Roboty budowlane.," 45.00.00.00-7, 45.31.00.00-3, 45.31.11.00-1, 45.31.12.00-2, 45.31.53.00-1, 45.31.56.00-4, 45.31.61.00-6, 45.31.61.10-9, 45.31.70.00-2.", Przetarg ograniczony," 129246,85 PLN.", 3.," 59994,00"," 59994,00 "," 91457,71","OBI COMPLEX Rafa≥ Zgoda, ul. Wysoka 5, 44-240 Øory, kraj/woj. úlπskie."
 143406 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 3813947,73 PLN.", 4.," 2569796,61"," 2569796,61 "," 2703974,05","SPRINT S.A., ul. JagielloÒczyka 26, 10-062 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 143822 - 2016, Izba Skarbowa w Rzeszowie, Roboty budowlane.," 45.40.00.00-1, 45.44.00.00-3, 45.45.00.00-6, 45.45.30.00-7.", Przetarg ograniczony," 61770,36 PLN.", 2.," 81166,15"," 81166,15 "," 738000,00","Zawitkowski Roman-Us≥ugi Budowlane ROMEX, ul. Dojazdowa 33, 37-500 Jaros≥aw, kraj/woj. podkarpackie."
 144094 - 2016, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 7770360,00 PLN.", 4.," 7380000,00"," 7380000,00 "," 11648740,63","Konsorcjum firm: Sinevia Sp z o.o., Firma Budowlana Grzegorz Fornalczyk, Wojskowe Biuro ProjektÛw Budowlanych Sp. z o.o., ul. Paderewskiego 6, 05-100 Nowy DwÛr Mazowiecki, kraj/woj. mazowieckie."
 144680 - 2016, Centrum Us≥ug Logistycznych, Roboty budowlane.," 45.00.00.00-7, 45.31.00.00-3, 45.31.62.20-3.", Przetarg ograniczony," 2875085,53 PLN.", 3.," 916076,27"," 916076,27 "," 1314199,01","QUMAK S.A., Al. Jerozolimskie 134, 02-305 Warszawa, kraj/woj. mazowieckie."
 145076 - 2016, Rejonowy Zarzπd Infrastruktury Zielona GÛra, Roboty budowlane.," 45.00.00.00-7, 71.00.00.00-8.", Przetarg ograniczony," 1370805,20 PLN.", 3.," 1367327,00"," 1264440,00 "," 1499985,00","IN-TEL, ul. Koúciuszki 13, 55-140 ØmigrÛd , kraj/woj. dolnoúlπskie."
 145980 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 2702289,63 PLN.", 4.," 2408636,36"," 2408636,36 "," 3010962,21","ATEM - Polska Sp.z o.o., ul. £uøycka 2, 81-537 Gdynia, kraj/woj. pomorskie."
 146408 - 2016, Urzπd Miejski O≥awa, Roboty budowlane., 45.23.31.20-6., Przetarg ograniczony," 569105,69 PLN.", 5.," 507990,00"," 507990,00 "," 828800,00","PrzedsiÍbiorstwo RobÛt Drogowo Mostowych Sp. z o.o., ul. O≥awska 26a, 49-300 Brzeg, kraj/woj. opolskie."
 146780 - 2016, Sπd Rejonowy w Pszczynie, Roboty budowlane.," 45.00.00.00-7, 45.30.00.00-0, 45.45.30.00-7, 45.33.12.20-3, 45.31.21.00-8, 45.31.12.00-2, 44.22.12.20-3.", Przetarg ograniczony," 77642,28 PLN.", 5.," 69811,38"," 69811,38 "," 96555,00","ELMAX Hurt Øywicki Sp. J., ul. Orzeszkowej 15B, 43-100 Tychy, kraj/woj. úlπskie."
 146892 - 2016, S≥uøba Kontrwywiadu Wojskowego, Roboty budowlane.," 45.33.11.00-7, 45.33.22.00-5, 71.32.00.00-7.", Przetarg ograniczony," 633617,89 PLN.", 2.," 1143900,00"," 1143900,00 "," 1377600,00","FADBET S.A., ul. 42 Pu≥ku Piechoty 46, 15-181 Bia≥ystok, kraj/woj. podlaskie."
 147254 - 2016, Gmina BaranÛw, Roboty budowlane.," 45.21.41.00-1, 45.30.00.00-0, 45.31.12.00-2, 45.33.00.00-9, 45.11.27.00-2, 45.33.30.00-0, 45.33.12.10-1, 45.31.61.00-6.", Przetarg ograniczony," 4377940,35 PLN.", 3.," 4292818,82"," 4292818,82 "," 7779750,00","MPM Development Sp. z o. o., ul. PartyzantÛw 1, 46-100 Namys≥Ûw, kraj/woj. opolskie."
 147584 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.31.20-6, 45.23.32.00-1, 45.23.32.22-1, 45.23.24.52-5.", Przetarg ograniczony," 324212,29 PLN.", 2.," 388324,25"," 388324,25 "," 409970,54","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o. o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 147602 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 74.23.20.00-4, 45.23.24.52-5, 45.23.31.20-6.", Przetarg ograniczony," 863821,14 PLN.", 1.," 1054110,00"," 1054110,00 "," 1054110,00","PrzedsiÍbiorstwo Budowy i utrzymania drÛg i mostÛw Sp. z o. o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 175573 - 2016, Zak≥ad Gospodarki Mieszkaniowej, Roboty budowlane.," 45.26.26.30-6, 45.45.30.00-7.", Przetarg ograniczony," 28551,64 PLN.", 2.," 30240,00"," 30240,00 "," 30564,00","Zak≥ad ZduÒski JÛzef Kowalski, Fa≥ata 91/3, 87-100 ToruÒ, kraj/woj. kujawsko-pomorskie."
 177329 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.23.23.10-8.", Przetarg ograniczony," 1069918,69 PLN.", 8.," 849425,06"," 849425,06 "," 1697236,30","ELEKTROTIM S.A., ul. Stargardzka 8, 45-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
 177419 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.20.00-3.", Przetarg ograniczony," 2241010,00 PLN.", 4.," 1998405,13"," 2412966,67 "," 1998405,13","SPRINT S.A. 10 - 062 Olsztyn, ul. JagielloÒczyka 26, ul. JagielloÒczyka 26, 10-062 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 177761 - 2016, Centrum Psychiatrii w Katowicach, Roboty budowlane.," 45.21.51.40-0, 45.11.13.00-1, 45.26.25.00-6, 45.41.00.00-4, 45.43.00.00-0, 45.42.10.00-4, 45.33.20.00-3, 45.33.24.00-7, 45.33.11.00-7, 45.33.12.10-1, 45.31.00.00-3, 45.45.00.00-6, 45.11.12.20-6.", Przetarg ograniczony," 341999,88 PLN.", 3.," 419553,28"," 419553,28 "," 478470,00","JAMAR - BUD mgr inø. Jacek Kalla, ul. Chorzowska 44B, 44-100 Gliwice, kraj/woj. úlπskie."
 177773 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.16.00-1, 32.41.00.00-0, 45.31.00.00-3, 45.31.40.00-1.", Przetarg ograniczony," 455270,00 PLN.", 5.," 424295,31"," 424295,31 "," 637421,42","SPRINT S.A., ul. JagielloÒczyka 26, 10-062 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 179175 - 2016, Sto≥eczny Zarzπd Infrastruktury, Roboty budowlane., 45.11.00.00-7., Przetarg ograniczony," 1071430,00 PLN.", 1.," 1421788,19"," 1421788,19 "," 1421788,19","VIDOM Halina Grπzka, ul. Tadeusza Koúciuszki 13 / 103, 05-300 MI—SK MAZOWIECKI, kraj/woj. mazowieckie."
 179701 - 2016, Gmina KrasnobrÛd, Roboty budowlane.," 45.11.10.00-8, 45.11.20.00-5, 45.23.10.00-5, 45.23.30.00-9.", Przetarg ograniczony," 197944,70 PLN.", 1.," 59635,17"," 59635,17 "," 59635,17","PrzedsiÍbiorstwo Transportowo - Us≥ugowe MAWEX - Ewa Matwiejczuk, ul. Rydla 21, 22-400 ZamoúÊ, kraj/woj. lubelskie."
 180535 - 2016, Gmina Miasto W≥oc≥awek - Urzπd Miasta W≥oc≥awek, Roboty budowlane.," 45.00.00.00-7, 45.21.41.00-1.", Przetarg ograniczony," 3468340,81 PLN.", 3.," 5191599,34"," 5191599,34 "," 6457500,00","Molewski sp. z o.o., ul. P≥ocka 164, 87-800 W≥oc≥awek, kraj/woj. kujawsko-pomorskie."
 181323 - 2016, Gmina Giera≥towice, Roboty budowlane.," 45.00.00.00-7, 45.23.31.42-6, 45.23.32.20-7.", Przetarg ograniczony," 254224,83 PLN.", 5.," 112937,03"," 112937,03 "," 129771,46","PUH DOMAX Arkadiusz Mika, ul. GrabiÒska 8, 42-283 BoronÛw, kraj/woj. úlπskie."
 184583 - 2016, NadbuøaÒski Oddzia≥ Straøy Granicznej, Roboty budowlane.," 45.20.00.00-9, 45.23.13.00-8, 45.23.31.20-6, 45.22.00.00-5, 45.33.00.00-9.", Przetarg ograniczony," 513617,27 PLN.", 1.," 617003,96"," 617003,96 "," 617003,96","Lider Konsorcjum: - PAG Sp. z o.o. , Bogdanka, 21-013 PuchaczÛw, kraj/woj. lubelskie."
 184737 - 2016, Biuro Ochrony Rzπdu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 2378048,78 PLN.", 4.," 2494931,95"," 2494931,95 "," 3131761,25","Nazwa: FADBET SpÛ≥ka Akcyjna, ul. 42 Pu≥ku Piechoty 46, 15-181 Bia≥ystok, kraj/woj. podlaskie."
 184741 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.20.00-7, 45.31.22.00-9, 51.31.00.00-8, 45.31.10.00-0.", Przetarg ograniczony," 145825,72 PLN.", 5.," 134900,00"," 122754,00 "," 183377,01","Konsorcjum firm: Lider: Miros≥aw JÍdra IN-TEL, ul. Koúciuszki 13, 55-140 ØmigrÛd, kraj/woj. dolnoúlπskie."
 184761 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.20.00-7, 45.31.22.00-9, 51.31.00.00-8, 45.31.10.00-0.", Przetarg ograniczony," 145825,72 PLN.", 5.," 134900,00"," 122754,00 "," 183377,01","Konsorcjum firm: Lider: IN-TEL Miros≥aw JÍdra, ul. Koúciuszki 13, 55-140 ØmigrÛd, kraj/woj. dolnoúlπskie."
 185209 - 2016, Urzπd Miasta Marki, Roboty budowlane.," 71.22.00.00-6, 74.23.20.00-4, 71.42.00.00-8, 45.11.00.00-1, 45.22.31.10-0, 45.22.31.20-4, 45.22.32.20-4, 45.23.20.00-2, 42.23.31.20-6, 45.23.27.00-8, 45.30.00.00-0, 45.21.21.00-8, 45.31.11.00-1, 66.00.00.00-0.", Przetarg ograniczony," 10000000,00 PLN.", 2.," 14587800,00"," 14587800,00 "," 15350000,00","ERBUD S.A., ul. Klimczaka 1, 02-797 Warszawa, kraj/woj. mazowieckie."
 185929 - 2016," Zwiπzek MiÍdzygminny ""Puszcza Zielonka""", Roboty budowlane., 45.23.13.00-8., Przetarg ograniczony," 946694,00 PLN.", 5.," 811683,61"," 614697,21 "," 1586700,00","WUPRINØ S.A., Ul. Straøy Ludowej 35, 60-645 PoznaÒ, kraj/woj. wielkopolskie."
 187483 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.45.30.00-7, 45.32.00.00-6, 45.40.00.00-1, 45.42.11.60-3, 45.23.32.00-1, 45.33.12.00-8, 45.33.00.00-9, 45.33.20.00-3, 45.33.23.00-6, 45.31.00.00-3, 45.23.14.00-9, 45.31.73.00-5, 45.31.12.00-2, 45.31.40.00-1, 45.31.43.20-0, 32.23.10.00-1, 45.31.21.00-8.", Przetarg ograniczony," 1861345,27 PLN.", 3.," 2396286,00"," 2396286,00 "," 2425830,60","TYTAN Systemy BezpieczeÒstwa sp. z o.o., ul.Wojsk Ochrony Pogranicza 9B, Bia≥ystok, kraj/woj. Polska."
 187877 - 2016, Rejonowy Zarzπd Infrastruktury Zielona GÛra, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 1004747,97 PLN.", 4.," 1196000,00"," 758959,66 "," 1377747,00","PRE-FABRYKAT Sp. z o.o., Mi≥kÛw, ul. Brzezie Karkonoskie 2, 58-540 Karpacz, kraj/woj. dolnoúlπskie."
 137438 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 5132850,00 PLN.", 4.," 3837791,17"," 3837791,17 "," 5034047,30","ELEKTROTIM S.A. , ul. Stargardzka 8, 45-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
 137714 - 2016, Urzπd Miejski O≥awa, Roboty budowlane.," 45.23.31.20-6, 45.23.21.30-2.", Przetarg ograniczony," 676150,61 PLN.", 7.," 406011,73"," 406011,73 "," 820265,68","PrzedsiÍbiorstwo RobÛt Drogowo Mostowych Sp. z o.o., ul. O≥awska 26a, 49-300 Brzeg, kraj/woj. opolskie."
 138444 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.16.00-1, 32.41.00.00-0, 45.31.00.00-3, 45.31.40.00-1.", Przetarg ograniczony," 3403040,00 PLN.", 3.," 2823005,93"," 2244015,82 "," 3346703,16","ATEM Polska Sp. z o.o.o, ul. £uøycka 2, 81-537 Gdynia, kraj/woj. pomorskie."
 157143 - 2016, Samodzielny ZespÛ≥ Publicznych Zak≥adÛw Lecznictwa Otwartego Warszawa Bemowo - W≥ochy, Roboty budowlane.," 45.00.00.00-7, 45.21.51.00-8.", Przetarg ograniczony," 13157321,95 PLN.", 5.," 15793200,00"," 15793200,00 "," 18897463,54","ERBUD SpÛ≥ka Akcyjna, Franciszka Klimczaka 1, 02-797 Warszawa, kraj/woj. mazowieckie."
 157519 - 2016, Uniwersytet Medyczny, Roboty budowlane.," 45.21.40.00-0, 45.21.44.00-4.", Przetarg ograniczony," 21715569,02 PLN.", 4.," 18011387,14"," 18011387,14 "," 20458001,24","Skanska S.A., ul. Gen. J. Zajπczka 9, 01-518 Warszawa, kraj/woj. mazowieckie."
 159359 - 2016, Najwyøsza Izba Kontroli Delegatura w Rzeszowie, Roboty budowlane.," 45.21.10.00-9, 45.11.13.00-1, 45.40.00.00-1, 45.45.30.00-7, 45.31.00.00-3, 45.31.43.20-0, 45.33.00.00-9, 45.33.11.00-7, 45.33.12.00-8, 39.13.00.00-2.", Przetarg ograniczony," 4300112,00 PLN.", 4.," 4604580,09"," 4604580,09 "," 5550000,00","PrzedsiÍbiorstwo Remontowo-Budowlane REMBUD Sp. z o.o., ul. Tunelowa 2, 38-100 StrzyøÛw, kraj/woj. podkarpackie."
 159903 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 54.31.43.20-0, 45.31.10.00-3, 45.31.42.00-3, 71.32.00.00-7.", Przetarg ograniczony," 283914,46 PLN.", 4.," 218940,00"," 218940,00 "," 344400,00","SPRINT S.A., ul. JagielloÒczyka 26, 10-062 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 163027 - 2016, Akademia GÛrniczo-Hutnicza im. Stanis≥awa Staszica w Krakowie, Roboty budowlane., 45.26.27.00-8., Przetarg ograniczony," 1784547,01 PLN.", 1.," 2526754,50"," 2526754,50 "," 2526754,50","Color s.c., KosynierÛw 9, åwidnica, kraj/woj. Polska."
 165745 - 2016, Narodowy Bank Polski - Departament Koordynacji i Realizacji ZakupÛw, Roboty budowlane.," 45.42.11.46-9, 45.44.21.00-8, 45.45.30.00-7.", Przetarg ograniczony," 160162,60 PLN.", 2.," 263835,00"," 263835,00 "," 290714,29","Zak≥ad us≥ug OgÛlnobudowlanych Robert Strzelecki, Rzeszowska 3, 85-373 Bydgoszcz, kraj/woj. kujawsko-pomorskie."
 166405 - 2016, Urzπd Miejski O≥awa, Roboty budowlane., 45.21.00.00-2., Przetarg ograniczony," 359710,05 PLN.", 3.," 313545,46"," 313545,46 "," 429439,30","Zak≥ad Remontowo - Budowlany ROBERT MIK Ryszarda Mik, ul. Norwida 28, 55-200 O≥awa, kraj/woj. dolnoúlπskie."
 166407 - 2016, Urzπd Miejski O≥awa, Roboty budowlane., 45.21.00.00-2., Przetarg ograniczony," 253436,43 PLN.", 3.," 234857,78"," 234857,78 "," 286592,60","Zak≥ad Remontowo - Budowlany ROBERT MIK Ryszarda Mik, ul. Norwida 28, 55-200 O≥awa, kraj/woj. dolnoúlπskie."
 166915 - 2016, Gmina Miejska KrakÛw-Wydzia≥ Inwestycji UrzÍdu Miasta Krakowa, Roboty budowlane.," 45.21.00.00-2, 45.26.00.00-7, 44.54.00.00-1, 45.41.00.00-4, 45.42.00.00-7, 45.30.00.00-0, 45.44.00.00-3, 45.45.00.00-6, 45.44.30.00-5, 45.42.11.00-5, 45.26.12.00-6, 45.43.21.00-5, 45.32.00.00-6.", Przetarg ograniczony," 810300,00 PLN.", 3.," 830000,00"," 790959,73 "," 953495,00","Zak≥ad Remontowo Budowlany BUDOLEX,, Ujanowice 109, 34-603 Ujanowice, kraj/woj. ma≥opolskie."
 168211 - 2016, Urzπd Miejski O≥awa, Roboty budowlane.," 45.23.31.20-6, 45.23.21.30-2, 45.31.61.10-9.", Przetarg ograniczony," 1303664,73 PLN.", 5.," 1042733,68"," 1042733,68 "," 1247987,58","STRABAG Infrastruktura Po≥udnie Sp. z o.o., Wysoka, ul. Lipowa 5a, 52-200 Wroc≥aw, kraj/woj. dolnoúlπskie."
 168225 - 2016, Urzπd Miejski O≥awa, Roboty budowlane., 45.31.61.10-9., Przetarg ograniczony," 343680,67 PLN.", 4.," 239907,13"," 239907,13 "," 330501,00","SKAY-LOGIC Sp. z o.o., ul. Gwiaüdzista 64 lok.44/3, 53-413 Wroc≥aw, kraj/woj. dolnoúlπskie."
 169355 - 2016, Kancelaria Sejmu RP, Roboty budowlane.," 45.00.00.00-7, 45.44.21.00-8, 45.43.00.00-0.", Przetarg ograniczony," 250000,00 PLN.", 3.," 289300,00"," 289300,00 "," 495000,00","Gabriel JamrÛz Zak≥ad ObrÛbki Drewnem, Kolbuszowska 27, 36-122 Dzikowiec, kraj/woj. podkarpackie."
 169851 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.31.20-6, 45.23.32.00-1, 45.23.32.22-1, 45.23.24.52-5.", Przetarg ograniczony," 274848,56 PLN.", 2.," 205803,26"," 205803,26 "," 264442,32","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp.z o.o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 169875 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.31.20-6, 45.23.32.00-1, 45.23.32.22-1, 45.23.24.52-5.", Przetarg ograniczony," 398054,32 PLN.", 2.," 292385,54"," 292385,54 "," 388371,15","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o.o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
